Timestamp,kWh,hour,day_of_week,month
2024-02-10 00:00:00,0.921,0,5,2
2024-02-10 00:30:00,0.185,0,5,2
2024-02-10 01:00:00,0.146,1,5,2
2024-02-10 01:30:00,0.184,1,5,2
2024-02-10 02:00:00,0.245,2,5,2
2024-02-10 02:30:00,0.176,2,5,2
2024-02-10 03:00:00,0.189,3,5,2
2024-02-10 03:30:00,0.242,3,5,2
2024-02-10 04:00:00,0.172,4,5,2
2024-02-10 04:30:00,0.227,4,5,2
2024-02-10 05:00:00,0.203,5,5,2
2024-02-10 05:30:00,0.188,5,5,2
2024-02-10 06:00:00,0.235,6,5,2
2024-02-10 06:30:00,0.261,6,5,2
2024-02-10 07:00:00,0.247,7,5,2
2024-02-10 07:30:00,0.317,7,5,2
2024-02-10 08:00:00,0.158,8,5,2
2024-02-10 08:30:00,0.248,8,5,2
2024-02-10 09:00:00,0.213,9,5,2
2024-02-10 09:30:00,0.154,9,5,2
2024-02-10 10:00:00,0.266,10,5,2
2024-02-10 10:30:00,0.155,10,5,2
2024-02-10 11:00:00,0.22,11,5,2
2024-02-10 11:30:00,0.764,11,5,2
2024-02-10 12:00:00,0.59,12,5,2
2024-02-10 12:30:00,0.305,12,5,2
2024-02-10 13:00:00,0.357,13,5,2
2024-02-10 13:30:00,0.37,13,5,2
2024-02-10 14:00:00,0.326,14,5,2
2024-02-10 14:30:00,0.267,14,5,2
2024-02-10 15:00:00,0.336,15,5,2
2024-02-10 15:30:00,0.32,15,5,2
2024-02-10 16:00:00,0.334,16,5,2
2024-02-10 16:30:00,0.35,16,5,2
2024-02-10 17:00:00,0.325,17,5,2
2024-02-10 17:30:00,0.321,17,5,2
2024-02-10 18:00:00,0.342,18,5,2
2024-02-10 18:30:00,0.336,18,5,2
2024-02-10 19:00:00,0.476,19,5,2
2024-02-10 19:30:00,0.432,19,5,2
2024-02-10 20:00:00,0.37,20,5,2
2024-02-10 20:30:00,0.432,20,5,2
2024-02-10 21:00:00,0.425,21,5,2
2024-02-10 21:30:00,0.634,21,5,2
2024-02-10 22:00:00,0.48,22,5,2
2024-02-10 22:30:00,0.548,22,5,2
2024-02-10 23:00:00,0.584,23,5,2
2024-02-10 23:30:00,0.49,23,5,2
2024-02-11 00:00:00,0.52,0,6,2
2024-02-11 00:30:00,0.518,0,6,2
2024-02-11 01:00:00,0.5,1,6,2
2024-02-11 01:30:00,0.496,1,6,2
2024-02-11 02:00:00,0.462,2,6,2
2024-02-11 02:30:00,0.53,2,6,2
2024-02-11 03:00:00,0.415,3,6,2
2024-02-11 03:30:00,0.35,3,6,2
2024-02-11 04:00:00,0.303,4,6,2
2024-02-11 04:30:00,0.268,4,6,2
2024-02-11 05:00:00,0.188,5,6,2
2024-02-11 05:30:00,0.145,5,6,2
2024-02-11 06:00:00,0.142,6,6,2
2024-02-11 06:30:00,0.166,6,6,2
2024-02-11 07:00:00,0.176,7,6,2
2024-02-11 07:30:00,0.215,7,6,2
2024-02-11 08:00:00,0.172,8,6,2
2024-02-11 08:30:00,0.186,8,6,2
2024-02-11 09:00:00,0.18,9,6,2
2024-02-11 09:30:00,0.197,9,6,2
2024-02-11 10:00:00,0.167,10,6,2
2024-02-11 10:30:00,0.145,10,6,2
2024-02-11 11:00:00,0.145,11,6,2
2024-02-11 11:30:00,0.152,11,6,2
2024-02-11 12:00:00,0.15,12,6,2
2024-02-11 12:30:00,0.253,12,6,2
2024-02-11 13:00:00,0.296,13,6,2
2024-02-11 13:30:00,0.257,13,6,2
2024-02-11 14:00:00,0.243,14,6,2
2024-02-11 14:30:00,0.249,14,6,2
2024-02-11 15:00:00,0.247,15,6,2
2024-02-11 15:30:00,0.288,15,6,2
2024-02-11 16:00:00,0.333,16,6,2
2024-02-11 16:30:00,0.392,16,6,2
2024-02-11 17:00:00,0.6,17,6,2
2024-02-11 17:30:00,0.556,17,6,2
2024-02-11 18:00:00,0.488,18,6,2
2024-02-11 18:30:00,0.604,18,6,2
2024-02-11 19:00:00,0.638,19,6,2
2024-02-11 19:30:00,0.498,19,6,2
2024-02-11 20:00:00,0.44,20,6,2
2024-02-11 20:30:00,0.469,20,6,2
2024-02-11 21:00:00,0.414,21,6,2
2024-02-11 21:30:00,0.434,21,6,2
2024-02-11 22:00:00,0.425,22,6,2
2024-02-11 22:30:00,0.423,22,6,2
2024-02-11 23:00:00,0.415,23,6,2
2024-02-11 23:30:00,0.254,23,6,2
2024-02-12 00:00:00,0.226,0,0,2
2024-02-12 00:30:00,0.215,0,0,2
2024-02-12 01:00:00,0.251,1,0,2
2024-02-12 01:30:00,0.165,1,0,2
2024-02-12 02:00:00,0.147,2,0,2
2024-02-12 02:30:00,0.144,2,0,2
2024-02-12 03:00:00,0.113,3,0,2
2024-02-12 03:30:00,0.151,3,0,2
2024-02-12 04:00:00,0.166,4,0,2
2024-02-12 04:30:00,0.14,4,0,2
